timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747866113436,4,Sign Out-1,200,OK,Thread Group 1-5,text,true,,4919,526,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1747866113588,6,Home,200,OK,Thread Group 1-10,text,true,,1497,251,5,5,http://localhost:8080/jpetstore/,3,0,2
1747866113588,3,Home-0,302,Found,Thread Group 1-10,,true,,146,125,5,5,http://localhost:8080/jpetstore,3,0,2
1747866113591,3,Home-1,200,OK,Thread Group 1-10,text,true,,1351,126,5,5,http://localhost:8080/jpetstore/,3,0,0
1747866113772,3,Reptiles,200,OK,Thread Group 1-6,text,true,,3712,282,5,5,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES&viewCategory=&categoryId=REPTILES,3,0,0
1747866114207,9,Login,200,OK,Thread Group 1-7,text,true,,5262,1605,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1747866114207,5,Login-0,302,Found,Thread Group 1-7,,true,,193,930,6,6,http://localhost:8080/jpetstore/actions/Account.action,5,0,0
1747866114212,4,Login-1,200,OK,Thread Group 1-7,text,true,,5069,675,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1747866114675,4,Sign In,200,OK,Thread Group 1-9,text,true,,3925,595,6,6,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=EWCqxcGaMN67PFo4-CEr_0JhVNY3RGuXKRSTVA7D.ppss?signonForm=,4,0,0
1747866115147,3,Main-Catalog,200,OK,Thread Group 1-10,text,true,,5717,460,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1747866115353,10,Sign Out,200,OK,Thread Group 1-6,text,true,,5249,1061,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1747866115353,3,Sign Out-0,302,Found,Thread Group 1-6,,true,,330,535,6,6,http://localhost:8080/jpetstore/actions/Account.action?signoff=,3,0,0
1747866115357,6,Sign Out-1,200,OK,Thread Group 1-6,text,true,,4919,526,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
1747866115572,5,Home,200,OK,Thread Group 1-11,text,true,,1497,251,5,5,http://localhost:8080/jpetstore/,3,0,1
1747866115572,3,Home-0,302,Found,Thread Group 1-11,,true,,146,125,5,5,http://localhost:8080/jpetstore,3,0,1
1747866115575,2,Home-1,200,OK,Thread Group 1-11,text,true,,1351,126,5,5,http://localhost:8080/jpetstore/,2,0,0
1747866115802,7,Reptiles,200,OK,Thread Group 1-7,text,true,,3712,282,5,5,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES&viewCategory=&categoryId=REPTILES,7,0,0
